origin_city,pct_same_day,pct_4hr,shipments_per_day,avg_distance_km,cur_delivery_time_hr,cur_cost_aed,delay_rate_pct,delay_churn_pct
ras al khaimah,50.6,3.7,183,118.9,3.1,49.53,16.5,8.6
ajman,58.5,23.8,56,56.0,1.8,28.15,51.7,35.3
dubai,21.0,30.1,85,138.6,3.5,70.85,54.8,21.8
sharjah,20.1,91.6,123,15.8,0.4,7.4,13.2,4.3
ras al khaimah,78.2,58.4,171,109.5,2.9,51.55,29.1,13.6
ras al khaimah,67.2,70.8,78,139.7,3.8,55.13,4.8,1.7
ajman,64.7,67.6,52,85.2,2.7,43.83,26.6,16.3
ras al khaimah,26.7,39.2,64,132.4,4.1,49.68,18.4,12.2
dubai,50.7,1.4,160,105.3,2.2,53.12,9.8,4.7
sharjah,2.3,10.7,104,7.1,0.2,3.09,33.4,23.4
ajman,13.0,45.9,51,102.3,2.2,38.64,7.7,2.9
al ain,51.8,94.1,143,100.2,3.1,37.18,21.2,14.1
abu dhabi,31.0,24.9,132,5.0,0.2,2.69,51.8,22.2
abu dhabi,96.6,69.8,104,64.3,1.9,29.73,40.8,27.0
sharjah,47.1,82.7,124,10.6,0.3,4.66,48.3,32.0
abu dhabi,8.4,90.7,46,47.5,1.0,25.01,14.0,6.2
ajman,1.8,29.3,37,148.1,3.7,65.66,33.7,10.4
ajman,72.5,93.1,161,141.3,3.9,72.41,17.6,7.4
ras al khaimah,17.2,60.8,136,104.3,3.5,53.58,27.2,12.9
al ain,18.8,50.8,195,58.2,1.6,28.81,36.5,25.3
dubai,42.4,77.8,187,62.5,2.2,23.57,22.8,13.1
abu dhabi,26.4,23.9,73,10.5,0.3,5.58,31.8,17.6
abu dhabi,61.7,81.3,93,54.1,1.1,25.58,35.3,19.7
abu dhabi,48.6,65.0,170,118.7,3.5,51.46,7.7,3.5
ras al khaimah,11.1,79.9,1,80.3,1.9,39.99,1.3,0.7
dubai,78.5,85.6,172,74.1,1.8,27.66,5.4,2.2
dubai,42.6,61.7,34,18.2,0.4,7.14,53.0,31.8
al ain,61.1,3.7,52,138.3,3.9,66.66,59.2,33.2
al ain,0.4,29.8,96,46.0,1.1,21.77,8.8,5.3
abu dhabi,62.6,87.8,141,60.5,2.1,27.49,21.2,7.6
abu dhabi,28.3,62.7,71,53.0,1.7,25.52,20.0,10.4
ajman,49.4,89.0,187,52.7,1.6,27.98,35.7,13.4
ajman,29.8,38.5,156,91.9,2.3,35.24,18.5,7.9
al ain,99.6,50.5,148,95.9,2.0,40.44,57.4,35.4
sharjah,23.1,86.3,154,91.8,2.8,37.9,11.0,5.1
dubai,91.3,76.2,6,14.9,0.3,7.87,28.8,9.2
sharjah,91.8,37.8,164,145.6,3.9,57.32,13.2,8.7
ajman,42.1,2.3,121,108.5,2.3,46.24,24.1,8.3
ajman,30.4,88.0,38,133.0,3.8,69.57,12.0,6.0
ajman,38.1,78.6,155,28.2,0.8,13.55,5.3,2.6
al ain,98.9,44.9,22,140.2,3.9,51.26,54.1,24.9
ras al khaimah,61.9,54.6,124,109.6,3.4,58.4,35.0,10.6
abu dhabi,54.5,20.4,114,77.6,1.8,28.78,40.3,16.2
sharjah,3.6,41.2,6,8.4,0.2,3.81,24.3,8.8
ras al khaimah,84.8,16.3,75,41.7,1.1,16.83,9.5,3.5
sharjah,8.4,21.1,24,126.6,3.9,59.97,58.2,20.4
sharjah,4.7,84.6,189,60.0,1.3,24.66,20.3,12.8
abu dhabi,27.5,36.2,160,103.4,3.4,52.44,44.4,15.1
abu dhabi,47.6,81.5,199,111.0,2.6,51.25,54.2,23.5
ras al khaimah,89.5,47.4,98,117.5,2.6,48.92,33.6,17.9
al ain,79.0,7.1,66,60.4,1.8,31.15,24.6,7.8
ras al khaimah,19.8,36.2,191,136.9,3.3,68.44,15.4,7.9
abu dhabi,37.2,15.8,62,47.4,1.2,21.27,3.0,1.5
dubai,78.0,69.4,83,126.2,2.6,56.59,4.4,2.8
dubai,52.7,91.1,27,66.6,1.8,29.58,40.2,13.9
sharjah,17.4,76.3,164,39.0,1.0,17.83,55.2,17.9
ajman,39.6,77.8,24,54.8,1.2,28.19,45.5,16.3
al ain,62.6,86.2,8,120.9,3.1,45.13,18.5,9.1
al ain,97.3,77.7,166,94.2,3.0,40.5,6.8,2.3
dubai,66.2,56.9,168,24.8,0.8,12.28,12.2,6.7
ras al khaimah,1.6,71.4,170,23.0,0.6,12.27,51.5,31.8
abu dhabi,70.5,41.6,171,104.6,3.6,40.54,15.0,7.8
abu dhabi,25.1,7.1,29,39.7,0.9,14.6,32.6,14.5
ajman,86.2,70.6,73,35.3,1.2,17.82,59.7,28.6
dubai,38.4,72.2,153,113.7,3.9,60.79,59.9,23.8
sharjah,20.0,22.4,62,51.8,1.5,25.31,12.9,8.3
ajman,46.8,95.4,155,14.9,0.3,6.85,57.5,24.7
abu dhabi,25.5,5.3,182,66.6,2.3,26.77,18.5,11.9
ajman,23.6,73.6,192,87.5,2.3,46.59,50.0,34.3
sharjah,57.3,96.8,155,92.2,2.1,45.18,14.1,5.7
ras al khaimah,76.7,30.9,159,13.5,0.5,6.55,2.3,1.5
abu dhabi,83.5,91.2,119,70.8,1.9,36.73,48.2,30.6
dubai,39.8,82.6,16,57.1,1.6,29.56,27.4,14.9
ajman,6.7,74.4,87,70.1,2.0,26.25,59.2,37.5
abu dhabi,48.4,95.4,190,11.0,0.4,4.0,21.2,10.0
ras al khaimah,43.4,65.4,182,47.9,1.3,19.16,22.0,11.9
dubai,19.7,49.5,48,98.3,3.3,51.49,34.0,15.7
ajman,89.6,67.6,149,23.3,0.5,10.63,47.7,33.4
al ain,97.4,41.2,62,144.1,4.2,68.67,1.2,0.6
dubai,5.2,32.5,83,149.1,4.2,62.96,38.1,15.0
abu dhabi,79.6,8.2,130,57.3,1.4,25.01,14.6,8.3
al ain,64.6,37.8,99,103.7,2.4,42.93,13.5,8.1
ajman,26.1,80.3,121,97.1,2.0,51.39,5.3,3.4
abu dhabi,63.5,94.5,20,29.2,0.7,12.68,0.5,0.2
abu dhabi,12.9,97.5,60,61.3,1.9,31.29,18.2,10.9
ras al khaimah,6.9,20.7,162,147.2,3.6,57.11,38.8,19.9
al ain,99.3,57.1,124,23.5,0.7,9.8,25.7,15.2
sharjah,63.6,57.6,168,88.4,2.9,34.71,7.0,3.6
sharjah,25.3,17.6,193,91.9,2.8,37.94,29.5,12.7
ras al khaimah,45.0,58.2,71,29.3,0.9,14.07,49.4,15.5
abu dhabi,95.0,36.3,53,82.6,2.4,31.84,50.2,21.5
abu dhabi,43.9,94.2,62,138.0,4.7,62.99,34.9,19.6
ras al khaimah,90.0,25.5,114,21.8,0.7,7.86,33.1,10.1
abu dhabi,86.9,83.5,51,32.5,0.8,17.45,21.9,14.6
ras al khaimah,34.4,89.7,78,42.1,1.3,15.43,29.3,13.5
sharjah,69.6,73.6,35,113.9,3.4,56.47,46.3,15.1
al ain,66.0,21.5,77,88.7,2.8,45.81,26.0,17.0
dubai,77.1,26.0,189,78.0,1.9,42.07,50.5,18.8
al ain,36.6,97.1,85,119.8,3.3,57.15,36.8,11.9
abu dhabi,5.2,7.6,152,146.8,4.9,68.88,24.4,8.1
dubai,17.1,11.7,86,33.4,1.2,15.38,55.4,28.3
ras al khaimah,61.7,97.9,87,122.7,3.1,61.06,53.3,22.1
ajman,77.5,77.7,132,58.7,1.6,30.33,23.9,15.2
al ain,75.6,74.6,22,26.2,0.7,11.92,44.5,23.1
dubai,58.4,16.0,71,42.2,1.3,20.66,55.7,22.9
dubai,8.5,48.9,28,62.9,1.3,33.54,35.3,18.8
ajman,1.7,84.1,40,135.4,4.6,51.47,56.2,38.1
al ain,78.2,32.9,142,74.4,2.1,34.68,4.8,3.1
sharjah,54.9,19.3,35,94.1,2.3,35.02,56.3,20.0
ras al khaimah,78.3,1.1,41,9.8,0.2,4.3,40.9,26.5
al ain,16.3,62.3,114,14.3,0.4,7.02,9.5,4.2
al ain,40.7,29.4,70,141.1,4.1,60.45,7.2,3.3
ajman,91.9,86.4,25,126.6,3.9,47.86,43.8,22.0
ras al khaimah,17.2,28.4,191,76.0,2.1,38.71,15.0,9.1
ajman,6.2,15.2,184,34.1,0.9,13.77,2.0,0.9
ras al khaimah,65.3,96.0,116,10.8,0.3,4.86,12.1,6.8
ajman,59.5,96.5,105,146.4,3.4,56.65,6.3,2.3
ajman,95.2,68.5,161,5.8,0.1,3.12,10.2,4.3
sharjah,90.6,92.8,194,39.5,1.0,16.94,31.7,21.5
ajman,74.9,16.2,21,104.2,3.3,52.92,32.0,15.0
ras al khaimah,1.9,46.0,20,141.0,3.1,60.52,26.9,15.9
al ain,48.0,20.4,66,22.0,0.7,9.3,44.8,14.9
ajman,89.6,47.9,61,117.2,2.4,47.27,1.0,0.3
dubai,43.4,79.1,179,53.1,1.1,22.98,53.3,17.1
ajman,96.2,84.5,102,103.6,2.5,53.62,59.4,34.5
abu dhabi,65.2,0.4,162,19.0,0.5,9.1,56.7,18.3
dubai,10.9,39.0,133,130.4,3.0,48.19,15.9,8.6
dubai,50.9,99.4,144,107.5,3.6,49.17,52.7,21.1
ajman,69.6,58.9,191,143.6,3.5,64.56,44.5,15.8
al ain,6.5,29.6,117,77.9,2.1,37.68,29.0,16.7
ajman,34.5,38.9,155,133.7,4.7,66.31,59.3,30.7
sharjah,71.7,32.3,54,83.4,2.0,38.52,13.6,8.9
dubai,15.7,44.8,52,79.4,2.3,41.1,35.1,20.7
ras al khaimah,34.8,44.4,117,18.7,0.6,8.89,12.8,5.5
dubai,69.0,50.7,180,123.1,3.0,51.81,15.3,5.4
al ain,77.6,46.5,11,64.8,1.4,27.72,49.9,27.7
ras al khaimah,51.9,51.6,100,92.0,2.9,47.34,38.2,16.8
al ain,95.7,2.8,41,99.4,2.4,40.43,42.8,15.7
abu dhabi,92.5,5.4,177,117.3,2.9,45.24,21.4,11.3
dubai,47.3,37.1,104,88.4,2.3,43.79,55.4,31.3
abu dhabi,16.0,88.5,9,94.9,2.0,41.47,27.3,11.3
ras al khaimah,77.3,79.1,1,80.5,2.6,32.26,19.7,11.6
abu dhabi,24.3,11.0,128,94.0,3.1,47.88,11.2,3.7
al ain,84.3,49.5,47,69.4,2.3,27.29,15.9,9.4
dubai,58.7,60.5,9,117.6,2.7,57.84,47.3,16.2
dubai,39.4,48.1,31,122.5,4.2,51.6,20.0,11.5
abu dhabi,55.6,69.8,31,80.0,2.4,39.06,19.3,9.1
ras al khaimah,53.3,99.7,69,26.3,0.8,13.13,23.2,8.4
ajman,92.5,9.6,143,59.2,1.8,22.99,19.6,6.0
sharjah,21.4,51.6,171,126.8,4.0,64.47,31.4,20.0
ajman,92.8,51.2,106,137.9,3.6,65.0,58.7,38.3
ajman,3.1,56.2,189,43.7,1.3,22.49,56.9,25.5
ajman,76.9,16.7,158,141.5,4.1,51.74,56.0,31.6
ajman,92.0,63.8,33,45.1,0.9,22.38,36.2,23.5
dubai,39.4,4.4,147,138.2,2.8,74.28,59.1,19.8
abu dhabi,7.3,74.1,46,140.6,3.8,68.4,21.9,11.0
ajman,80.5,66.3,192,78.2,2.2,41.07,11.9,5.6
dubai,84.3,33.0,169,142.8,4.4,62.07,54.3,21.0
sharjah,33.6,98.9,13,84.6,2.6,41.14,49.1,19.7
dubai,51.9,82.9,35,59.9,1.7,27.68,23.3,15.5
ras al khaimah,80.9,54.0,88,122.5,3.0,51.49,14.4,8.3
dubai,19.2,99.1,148,20.7,0.6,9.77,22.2,12.2
dubai,62.9,83.0,110,36.4,0.9,15.47,25.9,14.5
ajman,43.1,13.8,18,35.9,1.2,19.06,50.1,23.3
abu dhabi,17.4,59.1,126,95.2,2.5,47.94,23.4,14.4
sharjah,83.1,58.1,130,107.8,3.6,55.71,28.9,17.3
abu dhabi,32.5,65.3,186,126.4,2.8,59.97,11.1,5.3
abu dhabi,93.4,94.1,53,135.5,4.1,69.28,43.9,15.7
ras al khaimah,56.9,49.2,8,131.9,3.5,56.19,37.6,12.7
ras al khaimah,51.5,7.7,150,103.9,2.3,49.77,8.8,5.4
abu dhabi,42.3,47.9,140,137.6,3.9,57.8,17.0,9.9
ras al khaimah,40.1,78.8,104,45.0,1.0,21.02,18.6,8.9
ras al khaimah,81.8,35.9,138,110.2,2.7,41.09,36.9,13.1
ajman,67.8,2.7,36,16.1,0.4,8.09,1.3,0.8
ajman,77.4,30.3,26,23.2,0.6,10.11,35.0,15.5
al ain,42.1,68.2,81,37.8,1.0,20.3,15.4,9.4
sharjah,26.1,8.6,178,19.9,0.5,10.24,54.5,31.6
sharjah,8.7,37.6,103,145.0,2.9,68.23,49.3,33.1
ajman,77.7,13.3,128,72.6,1.9,29.61,33.6,11.0
al ain,41.5,47.6,199,136.5,3.5,64.62,17.9,10.0
ras al khaimah,50.9,14.2,61,74.1,2.1,36.77,15.8,9.7
dubai,46.9,10.9,96,106.5,2.9,47.39,3.5,1.5
sharjah,43.1,69.8,137,51.6,1.2,24.08,22.9,13.6
ras al khaimah,68.4,15.8,31,142.8,4.1,73.93,8.9,3.7
abu dhabi,60.9,15.5,80,10.1,0.2,3.89,37.7,20.9
al ain,97.2,59.3,111,106.1,2.7,47.74,51.7,29.6
ras al khaimah,13.9,4.4,61,142.8,4.2,73.66,4.7,3.1
al ain,57.4,3.3,44,119.3,3.5,51.35,53.7,36.5
dubai,6.3,43.1,88,125.0,2.8,64.89,24.2,16.9
ajman,80.8,36.5,176,48.4,1.2,22.29,1.7,1.0
ajman,61.6,54.5,83,70.5,1.9,30.47,5.0,2.7
ajman,42.8,99.3,166,24.7,0.6,13.3,0.0,0.0
al ain,80.2,43.5,135,59.6,1.8,23.19,35.5,21.3
sharjah,45.5,57.6,26,6.2,0.2,2.62,16.2,10.1
ajman,22.8,91.9,182,117.9,2.4,47.11,28.1,11.7
ras al khaimah,47.3,48.3,118,143.2,4.5,76.89,43.7,25.5
ras al khaimah,7.1,78.1,114,106.6,3.5,41.26,25.2,9.5
ras al khaimah,89.8,54.9,139,122.5,4.1,46.73,11.8,4.0
sharjah,73.1,63.7,9,79.5,1.7,32.4,50.3,31.0
al ain,76.0,93.3,51,32.8,1.1,15.4,12.4,6.6
dubai,87.4,0.1,159,109.5,2.5,44.64,43.5,21.3
sharjah,79.2,90.1,125,48.4,1.2,20.27,41.3,19.0
ajman,43.2,49.8,78,71.6,1.8,32.66,48.1,19.3
dubai,11.9,60.7,93,135.6,3.3,64.34,26.7,14.3
sharjah,37.3,45.0,124,59.1,1.4,27.44,55.7,18.6
ajman,93.4,26.1,96,47.0,1.1,22.12,7.3,4.2
ajman,94.9,6.6,92,9.6,0.3,4.62,32.2,15.9
dubai,76.8,94.5,110,106.7,3.1,55.26,42.4,23.4
abu dhabi,20.4,62.4,57,36.2,1.1,17.43,51.9,16.2
abu dhabi,19.4,87.3,114,97.7,2.7,47.85,38.9,17.5
ajman,88.0,29.1,138,58.2,1.4,25.11,39.7,18.3
abu dhabi,14.2,27.8,142,119.2,3.4,63.18,57.7,30.6
ajman,58.4,33.6,124,134.0,4.0,67.74,24.7,16.3
ras al khaimah,37.8,23.1,91,39.2,0.8,18.22,32.0,18.8
ras al khaimah,30.2,49.8,131,119.9,4.2,52.84,40.4,25.1
abu dhabi,67.7,93.6,144,27.2,0.8,9.88,16.1,9.7
al ain,96.0,87.6,62,25.4,0.8,13.65,23.2,8.8
dubai,77.8,49.5,97,67.1,1.9,25.87,41.3,20.9
dubai,48.6,34.9,135,52.1,1.6,23.53,23.7,14.1
dubai,44.1,61.2,132,148.1,4.4,62.43,54.5,28.0
abu dhabi,90.8,61.2,99,121.6,3.9,50.91,34.1,23.2
al ain,57.8,68.4,53,134.1,3.0,58.4,41.7,21.2
abu dhabi,49.7,53.6,182,24.7,0.6,11.44,9.7,5.0
ras al khaimah,68.3,2.7,108,108.5,2.5,39.26,58.2,20.2
sharjah,23.7,7.6,108,92.6,3.2,35.9,59.7,19.8
dubai,6.4,97.4,94,19.4,0.5,9.13,40.2,13.0
sharjah,85.5,74.6,152,120.1,3.0,59.22,12.6,4.5
dubai,60.7,94.8,61,128.8,3.0,62.02,32.6,18.5
sharjah,16.5,34.0,187,137.5,3.7,74.03,5.9,2.2
ajman,29.8,53.5,13,141.3,4.7,52.08,3.3,1.1
ajman,99.0,32.2,3,20.6,0.6,9.33,18.2,9.9
abu dhabi,63.4,90.9,102,132.9,3.0,57.86,13.4,8.6
ras al khaimah,63.6,28.8,171,142.1,4.6,56.24,57.5,18.0
ajman,7.2,69.4,2,105.2,3.6,54.73,44.9,22.6
abu dhabi,96.9,17.5,136,31.7,1.0,12.23,42.8,16.1
sharjah,89.3,10.5,78,63.1,1.8,28.45,45.7,30.4
dubai,54.8,15.6,5,18.1,0.5,7.14,21.6,10.1
al ain,30.9,52.9,74,5.6,0.2,2.46,59.6,33.3
ras al khaimah,69.8,84.5,129,138.4,4.6,69.52,34.9,16.5
abu dhabi,83.3,99.9,127,146.0,4.4,70.97,12.6,7.9
ras al khaimah,78.6,62.3,169,138.3,3.9,67.22,40.4,20.1
ras al khaimah,97.7,53.4,197,41.8,1.0,16.67,33.2,22.5
ajman,63.7,78.7,11,95.1,2.4,34.63,36.5,16.2
dubai,32.1,6.4,171,77.5,1.6,37.94,16.0,9.4
al ain,49.8,80.9,2,76.9,2.4,29.15,35.1,11.8
al ain,81.6,75.8,195,67.1,2.3,28.87,4.5,1.6
al ain,26.5,53.0,155,141.5,3.0,72.43,48.9,25.0
al ain,23.1,2.3,190,119.7,3.2,51.91,36.3,14.7
al ain,72.5,20.2,14,127.8,3.9,56.71,39.8,12.9
ras al khaimah,44.4,37.0,15,10.0,0.2,5.32,34.6,13.8
dubai,81.7,94.1,197,64.7,1.7,33.88,59.2,24.2
sharjah,14.4,63.8,57,91.7,2.9,34.51,5.0,2.7
abu dhabi,33.6,51.0,76,100.5,2.5,51.86,28.1,10.3
abu dhabi,26.8,48.8,60,134.8,4.0,60.53,40.3,27.1
ras al khaimah,69.8,78.0,32,29.2,0.9,14.71,36.1,15.0
ras al khaimah,75.9,32.4,15,18.1,0.6,7.66,43.3,29.7
ajman,45.6,9.5,27,134.5,3.2,71.59,58.8,27.6
ras al khaimah,47.8,67.7,169,78.5,1.8,39.52,29.1,17.3
dubai,13.2,32.9,6,83.2,1.7,36.68,47.9,27.4
abu dhabi,70.2,32.6,179,134.1,3.6,56.98,29.9,12.3
al ain,99.2,45.5,44,113.7,2.6,45.25,44.4,21.2
sharjah,77.8,24.3,121,111.0,3.3,45.46,30.0,11.8
ajman,22.3,92.2,52,32.0,0.9,14.07,27.1,17.7
sharjah,62.3,84.7,178,95.1,3.1,40.3,57.9,37.9
abu dhabi,29.5,99.1,9,70.3,2.3,33.46,41.1,18.2
ras al khaimah,3.0,96.5,143,93.6,2.4,44.4,40.9,19.0
ras al khaimah,18.0,31.4,186,88.5,2.2,34.94,31.2,13.1
ras al khaimah,10.3,38.1,88,8.8,0.2,3.58,4.1,1.7
sharjah,19.6,69.8,90,54.9,1.7,20.21,21.5,7.2
ajman,79.6,1.6,30,71.4,2.0,30.62,3.0,1.7
al ain,29.3,99.4,175,77.5,1.9,34.5,44.4,27.0
ajman,75.7,1.1,191,19.4,0.6,7.35,47.8,20.9
sharjah,94.9,53.1,99,135.3,3.3,50.78,1.9,1.0
abu dhabi,57.4,66.9,138,53.5,1.5,21.84,29.9,9.2
ajman,48.5,91.4,151,76.0,2.0,34.08,54.1,29.9
sharjah,75.0,64.4,71,101.2,2.4,54.35,6.4,2.8
ajman,9.7,59.7,1,109.3,3.5,57.35,21.4,7.7
dubai,42.8,30.0,26,59.8,1.8,25.82,7.1,2.2
abu dhabi,49.9,59.1,179,23.7,0.7,10.9,29.9,14.1
ras al khaimah,83.1,75.0,159,35.1,1.1,16.17,32.0,18.2
sharjah,81.4,51.6,19,28.9,0.6,12.19,23.5,9.3
sharjah,84.8,78.0,160,40.4,1.1,20.78,50.2,18.4
ajman,69.8,7.0,176,92.5,2.7,38.16,24.6,13.4
sharjah,53.1,33.5,109,82.7,2.1,36.13,6.6,3.5
ras al khaimah,82.8,96.0,90,29.5,0.9,15.44,47.8,20.2
abu dhabi,87.3,32.3,199,103.8,2.9,43.83,12.8,8.2
ras al khaimah,48.0,62.2,174,14.2,0.4,6.42,43.4,23.4
abu dhabi,98.6,52.0,77,136.9,3.6,70.74,26.1,16.3
sharjah,87.5,93.7,95,87.1,2.7,36.49,13.1,8.8
ajman,51.0,16.3,188,90.6,1.9,48.3,6.0,3.4
al ain,6.9,29.9,184,46.5,1.5,18.44,49.6,20.7
abu dhabi,22.4,86.2,126,79.2,1.7,38.27,13.1,7.5
ajman,77.6,66.6,130,66.8,1.5,24.77,59.3,27.8
dubai,11.1,54.3,147,142.9,4.6,65.26,31.4,11.7
dubai,47.0,39.5,58,16.1,0.4,6.26,43.6,16.1
ras al khaimah,60.5,41.1,183,71.5,1.9,33.83,34.0,12.3
ras al khaimah,87.8,93.5,59,119.8,3.1,56.43,59.9,29.1
sharjah,84.7,67.1,166,84.0,1.8,36.54,14.4,7.7
ajman,76.4,92.9,164,87.0,2.5,45.8,23.5,16.2
sharjah,40.8,97.2,58,137.1,4.2,71.35,53.0,30.2
abu dhabi,14.2,54.7,161,59.5,1.4,29.29,11.5,4.5
sharjah,67.0,61.0,173,5.3,0.2,2.59,37.7,23.9
abu dhabi,18.1,65.6,99,139.2,3.0,51.82,53.8,37.3
ras al khaimah,56.1,83.9,108,9.8,0.3,4.1,59.5,27.7
sharjah,98.1,65.9,102,120.6,3.7,47.83,48.0,31.3
abu dhabi,55.0,11.5,9,25.2,0.8,10.83,4.2,2.5
ajman,64.6,94.2,108,8.0,0.3,3.04,34.1,14.5
ras al khaimah,67.8,66.1,135,56.4,1.8,23.54,41.2,12.5
abu dhabi,83.0,87.0,112,130.3,4.5,60.3,18.3,10.6
al ain,43.5,42.5,100,10.4,0.3,4.06,40.6,27.9
sharjah,49.8,47.5,100,43.1,1.4,16.34,54.6,19.3
ajman,17.6,68.9,107,45.5,1.0,22.17,38.8,25.8
al ain,61.5,77.6,185,18.7,0.6,7.56,29.6,11.3
sharjah,29.6,7.8,82,18.4,0.5,8.21,45.5,23.5
abu dhabi,50.8,40.7,45,136.7,4.7,69.84,17.8,9.3
ras al khaimah,76.7,77.0,13,105.8,3.3,45.3,40.1,15.6
dubai,1.8,99.2,174,50.1,1.2,18.92,30.4,9.4
sharjah,56.4,1.2,36,39.6,0.9,19.85,36.7,13.6
al ain,17.3,26.5,83,11.2,0.3,5.52,29.4,13.4
sharjah,27.9,46.5,151,57.0,1.6,26.78,24.9,9.4
ras al khaimah,3.5,22.3,36,48.7,1.5,22.25,3.1,1.8
ajman,16.9,2.7,47,138.0,3.2,68.36,37.3,18.5
abu dhabi,98.7,54.0,127,37.0,0.9,15.67,58.6,25.9
abu dhabi,99.9,64.9,125,63.7,1.6,26.71,21.3,8.4
ajman,72.0,41.6,49,103.9,3.3,49.14,37.5,21.2
dubai,61.2,37.0,108,51.6,1.3,20.12,43.4,28.5
sharjah,77.7,98.6,141,118.4,2.5,56.12,36.2,20.3
sharjah,89.7,47.8,45,110.3,3.1,56.92,54.0,25.0
al ain,51.9,79.8,89,10.1,0.2,4.57,55.9,17.4
dubai,3.5,28.7,56,129.1,3.9,48.4,52.3,32.2
al ain,70.9,83.0,188,57.8,1.9,27.7,25.2,12.8
sharjah,98.5,82.4,77,18.9,0.4,9.76,8.4,2.7
ajman,25.8,26.8,171,106.3,3.5,42.03,24.0,14.2
ajman,46.3,65.6,176,113.3,3.4,53.27,31.4,12.3
abu dhabi,36.1,68.2,34,15.3,0.3,6.05,2.5,1.0
al ain,39.0,44.3,188,56.3,1.3,28.58,50.3,28.2
abu dhabi,72.1,77.4,10,134.8,3.2,54.66,53.1,19.9
dubai,37.8,30.7,77,102.1,2.4,48.32,37.9,16.2
ras al khaimah,94.1,48.4,32,82.4,2.1,38.4,34.8,20.2
ajman,79.0,99.0,10,78.1,2.6,33.38,23.2,9.9
al ain,2.8,17.9,110,93.2,2.2,48.66,58.7,19.8
sharjah,81.9,14.8,120,99.7,3.4,52.07,26.2,8.9
dubai,77.3,14.2,116,15.0,0.4,6.32,12.4,6.4
dubai,51.6,99.8,84,53.5,1.5,22.61,57.7,40.4
sharjah,49.7,16.0,157,81.4,2.5,38.9,50.1,25.5
abu dhabi,83.6,19.0,98,110.9,3.6,45.59,19.6,13.5
al ain,42.5,69.5,107,112.7,3.9,46.74,33.5,22.2
dubai,15.9,75.9,88,92.8,1.9,33.75,35.1,22.8
al ain,31.3,52.7,42,90.0,2.3,33.92,52.6,25.2
abu dhabi,26.5,98.3,131,58.3,1.3,27.89,32.9,17.3
dubai,68.1,3.9,165,126.0,2.8,52.64,25.1,13.9
abu dhabi,17.9,62.1,61,137.9,3.1,51.66,35.5,10.8
dubai,64.5,60.6,93,127.7,3.9,67.35,58.3,18.5
sharjah,46.6,32.1,178,131.4,2.7,54.3,3.1,2.1
abu dhabi,84.0,89.9,42,136.8,4.5,54.4,38.8,18.5
ajman,48.5,55.3,84,34.3,1.1,15.57,4.9,3.1
ajman,93.0,24.6,54,79.5,2.1,40.51,15.8,5.5
dubai,90.0,8.8,68,82.5,2.2,42.66,41.7,16.8
dubai,18.5,10.7,92,75.4,2.3,31.28,42.6,13.7
dubai,68.6,89.7,184,128.0,2.6,63.18,50.0,30.2
abu dhabi,21.5,25.0,3,52.1,1.3,23.66,32.4,13.1
dubai,82.3,90.7,72,28.4,0.6,13.27,48.1,29.6
abu dhabi,63.6,12.0,173,44.8,1.0,19.68,30.2,18.5
ajman,29.4,98.4,17,25.8,0.7,10.11,12.1,4.1
abu dhabi,24.9,83.3,101,63.7,1.5,32.34,26.7,11.1
abu dhabi,43.0,11.6,31,21.9,0.6,10.03,10.4,5.3
sharjah,80.1,8.6,112,17.7,0.5,7.65,32.8,20.4
ajman,79.6,80.3,143,70.4,2.1,33.9,31.0,19.2
abu dhabi,3.3,7.8,127,92.2,2.3,40.26,15.7,8.1
abu dhabi,30.2,26.2,112,93.1,1.9,47.75,29.2,16.9
sharjah,42.3,80.1,148,18.4,0.4,7.07,36.2,24.5
dubai,58.6,90.8,107,145.9,4.0,53.31,26.1,12.1
sharjah,15.0,76.8,122,22.7,0.6,10.5,13.4,4.7
al ain,33.5,89.0,17,100.8,3.2,40.95,57.2,20.3
sharjah,88.6,56.0,5,133.9,2.8,51.05,48.2,21.7
dubai,47.7,78.0,33,133.3,4.4,48.72,12.8,4.4
ras al khaimah,74.4,34.4,108,79.3,1.8,39.54,28.6,18.7
dubai,48.5,78.5,79,45.2,1.1,24.08,22.7,11.7
abu dhabi,46.5,68.0,73,125.0,4.1,58.85,59.8,36.3
dubai,62.2,57.5,90,93.8,3.1,46.81,43.3,30.2
al ain,25.9,99.2,197,119.7,3.3,61.16,38.9,18.0
al ain,25.0,47.0,75,63.0,1.3,31.81,8.8,5.5
ajman,98.9,61.9,89,137.4,4.0,57.55,11.4,6.8
ajman,86.9,51.0,101,139.8,4.4,50.39,55.9,22.5
ajman,73.8,26.1,155,111.9,2.7,52.94,26.9,9.3
ajman,13.7,33.0,146,141.7,3.2,75.18,0.9,0.3
ajman,3.0,97.9,195,70.8,1.9,36.8,29.8,18.8
al ain,17.5,39.2,127,33.2,1.0,11.98,37.1,25.7
ras al khaimah,93.8,67.9,190,100.1,2.8,52.33,17.4,7.9
dubai,81.6,56.7,122,99.7,2.4,36.09,25.5,13.1
sharjah,52.3,89.0,108,76.2,2.5,34.72,16.6,6.3
al ain,96.9,75.8,111,42.8,1.4,21.98,26.5,16.2
sharjah,14.7,8.1,96,95.5,2.9,41.53,59.1,18.2
